"SUID","automated_textmining","coexpression","combined_score","database_annotated","EdgeBetweenness","experimentally_determined_interaction","gene_fusion","homology","interaction","name","neighborhood_on_chromosome","node1_string_id","node2_string_id","phylogenetic_cooccurrence","selected","shared interaction","shared name"
"2870","0.0","0.0","0.9","0.9","15.10807447","0.0","0","0.0","interacts with","Cd177 (interacts with) Stk10","0","10090.ENSMUSP00000064934","10090.ENSMUSP00000099885","0","false","interacts with","Cd177 (interacts with) Stk10"
"2869","0.059","0.0","0.901","0.9","28.76399461","0.0","0","0.0","interacts with","Cd177 (interacts with) Serpinb6b","0","10090.ENSMUSP00000064934","10090.ENSMUSP00000105922","0","false","interacts with","Cd177 (interacts with) Serpinb6b"
"2868","0.059","0.0","0.901","0.9","20.48388448","0.0","0","0.0","interacts with","Cd177 (interacts with) Ptafr","0","10090.ENSMUSP00000064934","10090.ENSMUSP00000070925","0","false","interacts with","Cd177 (interacts with) Ptafr"
"2867","0.077","0.0","0.903","0.9","14.13240983","0.0","0","0.0","interacts with","Cd177 (interacts with) Cd59b","0","10090.ENSMUSP00000064934","10090.ENSMUSP00000087912","0","false","interacts with","Cd177 (interacts with) Cd59b"
"2866","0.045","0.079","0.904","0.9","21.87459878","0.0","0","0.0","interacts with","Cd177 (interacts with) Psg20","0","10090.ENSMUSP00000064934","10090.ENSMUSP00000075973","0","false","interacts with","Cd177 (interacts with) Psg20"
"2865","0.093","0.062","0.907","0.9","13.3110583","0.0","0","0.0","interacts with","Cd177 (interacts with) Fcer1g","0","10090.ENSMUSP00000064934","10090.ENSMUSP00000078875","0","false","interacts with","Cd177 (interacts with) Fcer1g"
"2864","0.148","0.05","0.912","0.9","9.43933747","0.0","0","0.0","interacts with","Cd177 (interacts with) Cd47","0","10090.ENSMUSP00000064934","10090.ENSMUSP00000099853","0","false","interacts with","Cd177 (interacts with) Cd47"
"1378","0.695","0.069","0.705","0.0","74.23264366","0.047","0","0.0","interacts with","Cd200 (interacts with) Cd47","0","10090.ENSMUSP00000130518","10090.ENSMUSP00000099853","0","false","interacts with","Cd200 (interacts with) Cd47"
"1377","0.545","0.062","0.555","0.0","187.38029666","0.0","0","0.0","interacts with","Cd200 (interacts with) Ptprc","0","10090.ENSMUSP00000130518","10090.ENSMUSP00000138350","0","false","interacts with","Cd200 (interacts with) Ptprc"
"1464","0.556","0.068","0.568","0.0","32.22146792","0.0","0","0.0","interacts with","Cd274 (interacts with) Cd33","0","10090.ENSMUSP00000016640","10090.ENSMUSP00000004728","0","false","interacts with","Cd274 (interacts with) Cd33"
