"SUID","__glayCluster","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"136627","3","2.26592798","7.66E-6","0.44132029","0.5","4","3","false","ENSMUSG00000038502","155.75","4","0","0","0.7468144","false","0","ENSMUSG00000038502","150","0.5967433"
"137145","3","2.02216066","1.894E-5","0.49452055","0.60714286","8","3","false","ENSMUSG00000002957","154.875","8","0","0","0.79556787","false","0","ENSMUSG00000002957","290","0.44891304"
"135609","3","2.07202216","1.026E-5","0.48262032","0.71428571","7","3","false","ENSMUSG00000026385","169.57142857","7","0","0","0.78559557","false","0","ENSMUSG00000026385","208","0.51698606"
"136122","3","2.06648199","2.567E-5","0.48391421","0.68181818","12","4","false","ENSMUSG00000032679","130.83333333","12","0","0","0.7867036","false","0","ENSMUSG00000032679","282","0.40010194"
"137658","3","2.05540166","2.48E-5","0.48652291","0.52380952","7","4","false","ENSMUSG00000026339","108.57142857","7","0","0","0.78891967","false","0","ENSMUSG00000026339","324","0.32409382"
"135607","3","2.06648199","2.527E-5","0.48391421","0.73076923","13","4","false","ENSMUSG00000041378","127.76923077","13","0","0","0.7867036","false","0","ENSMUSG00000041378","272","0.39193016"
"135617","3","2.1634349","4.08E-6","0.46222791","0.73333333","6","4","false","ENSMUSG00000032135","133.33333333","6","0","0","0.76731302","false","0","ENSMUSG00000032135","42","0.44742729"
"135615","3","2.30747922","4.0E-6","0.43337335","0.80952381","7","4","false","ENSMUSG00000030987","92.42857143","7","0","0","0.73850416","false","0","ENSMUSG00000030987","36","0.37725948"
"135622","3","1.74238227","0.02184844","0.57392687","0.15085885","108","3","false","ENSMUSG00000046470","27.56730769","108","0","4","0.85152355","false","0","ENSMUSG00000046470","28120","0.07876374"
"138182","3","2.10803324","7.33E-6","0.47437582","0.5","5","4","false","ENSMUSG00000031486","117.4","5","0","0","0.77839335","false","0","ENSMUSG00000031486","82","0.36971609"
"137156","3","2.07202216","1.026E-5","0.48262032","0.71428571","7","3","false","ENSMUSG00000018599","169.57142857","7","0","0","0.78559557","false","0","ENSMUSG00000018599","208","0.51698606"
"135620","3","2.08864266","1.542E-4","0.47877984","0.69444444","9","3","false","ENSMUSG00000024758","91.0","9","0","0","0.78227147","false","0","ENSMUSG00000024758","1070","0.284375"
"137673","3","2.04155125","7.508E-5","0.48982361","0.59090909","12","4","false","ENSMUSG00000068227","122.33333333","12","0","0","0.79168975","false","0","ENSMUSG00000068227","910","0.3640873"
"137160","3","2.05263158","3.513E-5","0.48717949","0.6952381","15","4","false","ENSMUSG00000023972","124.13333333","15","0","0","0.78947368","false","0","ENSMUSG00000023972","404","0.37730496"
"135624","3","2.00831025","0.01969539","0.49793103","0.13210702","100","3","false","ENSMUSG00000047242","22.76086957","100","0","8","0.79833795","false","0","ENSMUSG00000047242","20454","0.08556718"
"136653","3","2.25207756","1.21E-5","0.44403444","0.83333333","9","4","false","ENSMUSG00000022468","91.44444444","9","0","0","0.74958449","false","0","ENSMUSG00000022468","100","0.34769751"
"135634","3","1.98614958","1.0999E-4","0.50348675","0.575","16","3","false","ENSMUSG00000040204","117.5625","16","0","0","0.80277008","false","0","ENSMUSG00000040204","870","0.33589286"
"136658","3","2.05817175","7.529E-5","0.4858681","0.55128205","13","3","false","ENSMUSG00000056457","121.61538462","13","0","0","0.78836565","false","0","ENSMUSG00000056457","1076","0.37191249"
"137167","3","2.18559557","6.013E-5","0.45754119","0.64285714","8","3","false","ENSMUSG00000021408","84.125","8","0","0","0.76288089","false","0","ENSMUSG00000021408","586","0.29414336"
"136662","3","2.06094183","7.165E-5","0.48521505","0.66666667","15","4","false","ENSMUSG00000054675","119.8","15","0","0","0.78781163","false","0","ENSMUSG00000054675","528","0.36748466"
"135641","3","1.70914127","0.0379492","0.58508914","0.11488958","131","3","false","ENSMUSG00000030103","25.74590164","131","0","9","0.85817175","false","0","ENSMUSG00000030103","46954","0.07484274"
"136665","3","2.30747922","4.0E-6","0.43337335","0.80952381","7","4","false","ENSMUSG00000059256","92.42857143","7","0","0","0.73850416","false","0","ENSMUSG00000059256","36","0.37725948"
