"SUID","EdgeBetweenness","interaction","name","selected","shared interaction","shared name","weight"
"152229","61.65877354","interacts with","ENSMUSG00000091337 (interacts with) ENSMUSG00000015839","false","interacts with","ENSMUSG00000091337 (interacts with) ENSMUSG00000015839","0.0152857123927291"
"152228","86.84204253","interacts with","ENSMUSG00000055320 (interacts with) ENSMUSG00000050627","false","interacts with","ENSMUSG00000055320 (interacts with) ENSMUSG00000050627","0.0152865259699602"
"144042","43.84964912","interacts with","ENSMUSG00000002603 (interacts with) ENSMUSG00000045005","false","interacts with","ENSMUSG00000002603 (interacts with) ENSMUSG00000045005","0.0200947499827941"
"152242","71.90703077","interacts with","ENSMUSG00000024953 (interacts with) ENSMUSG00000031785","false","interacts with","ENSMUSG00000024953 (interacts with) ENSMUSG00000031785","0.0152812275872437"
"152243","55.70623716","interacts with","ENSMUSG00000074102 (interacts with) ENSMUSG00000039989","false","interacts with","ENSMUSG00000074102 (interacts with) ENSMUSG00000039989","0.0152811307661609"
"144058","19.54889334","interacts with","ENSMUSG00000091337 (interacts with) ENSMUSG00000024083","false","interacts with","ENSMUSG00000091337 (interacts with) ENSMUSG00000024083","0.0200770823405679"
"144056","39.77022208","interacts with","ENSMUSG00000034974 (interacts with) ENSMUSG00000049916","false","interacts with","ENSMUSG00000034974 (interacts with) ENSMUSG00000049916","0.0200793000533525"
"152248","175.40562995","interacts with","ENSMUSG00000012076 (interacts with) ENSMUSG00000044433","false","interacts with","ENSMUSG00000012076 (interacts with) ENSMUSG00000044433","0.0152782277328939"
"152254","45.3036641","interacts with","ENSMUSG00000035443 (interacts with) ENSMUSG00000029192","false","interacts with","ENSMUSG00000035443 (interacts with) ENSMUSG00000029192","0.0152753770380512"
"144066","45.8990648","interacts with","ENSMUSG00000048878 (interacts with) ENSMUSG00000018217","false","interacts with","ENSMUSG00000048878 (interacts with) ENSMUSG00000018217","0.0200706247904236"
"144064","61.24088594","interacts with","ENSMUSG00000024515 (interacts with) ENSMUSG00000016541","false","interacts with","ENSMUSG00000024515 (interacts with) ENSMUSG00000016541","0.0200722181266937"
"152261","39.24099102","interacts with","ENSMUSG00000002249 (interacts with) ENSMUSG00000057531","false","interacts with","ENSMUSG00000002249 (interacts with) ENSMUSG00000057531","0.0152737364802756"
"144070","37.80618548","interacts with","ENSMUSG00000025764 (interacts with) ENSMUSG00000030802","false","interacts with","ENSMUSG00000025764 (interacts with) ENSMUSG00000030802","0.0200677301170965"
