"SUID","__glayCluster","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"41395","6","4.06467662","0.0","0.24602203","0.0","1","9","false","Plekhg6","26.0","1","0","0","0.72139303","false","0","Plekhg6","0","0.0"
"39860","6","4.68656716","0.0105188","0.2133758","0.16666667","4","8","false","Irx4","4.75","4","0","0","0.66485753","false","0","Irx4","4342","0.38636364"
"34230","6","3.60696517","6.3329E-4","0.27724138","0.82142857","8","8","false","Adrb1","12.625","8","0","0","0.76300317","false","0","Adrb1","212","0.28693182"
"34232","6","3.77114428","0.00517721","0.2651715","0.60714286","8","8","false","Gucy1a3","8.75","8","0","0","0.74807779","false","0","Gucy1a3","1074","0.28225806"
"34745","6","3.41791045","0.01995189","0.29257642","0.3","5","8","false","Pip5k1b","11.8","5","0","0","0.78018996","false","0","Pip5k1b","3906","0.29230769"
"34234","6","3.27363184","0.00794696","0.30547112","0.77777778","9","7","false","Adra2c","13.33333333","9","0","0","0.7933062","false","0","Adra2c","3296","0.28368794"
"34236","6","3.65174129","0.0","0.27384196","1.0","7","8","false","Gpr20","12.57142857","7","0","0","0.75893261","false","0","Gpr20","0","0.33082707"
"34238","6","3.80597015","0.01895385","0.2627451","0.33333333","7","8","false","Pde5a","8.14285714","7","0","0","0.7449118","false","0","Pde5a","3916","0.2962963"
"39359","6","3.96517413","0.0129253","0.25219573","0.53333333","6","8","false","Minpp1","7.0","6","0","0","0.73043872","false","0","Minpp1","3354","0.40196078"
"34240","6","3.27363184","0.00794696","0.30547112","0.77777778","9","7","false","Adra2b","13.33333333","9","0","0","0.7933062","false","0","Adra2b","3296","0.28368794"
"39361","6","5.3681592","0.00995025","0.1862836","0.33333333","3","10","false","Xylb","3.0","3","0","0","0.60289462","false","0","Xylb","3034","0.53333333"
"34242","6","3.64676617","0.00995025","0.27421555","0.75","8","8","false","Calcrl","11.0","8","0","0","0.75938489","false","0","Calcrl","1600","0.29391892"
"39363","6","4.61691542","0.00477654","0.21659483","0.66666667","3","9","false","Rbks","5.66666667","3","0","0","0.67118951","false","0","Rbks","1552","0.47222222"
"34244","6","3.12437811","0.03216817","0.32006369","0.3956044","14","7","false","Gnai1","12.21428571","14","0","0","0.80687472","false","0","Gnai1","7720","0.21303258"
"34246","6","3.20895522","0.0432121","0.31162791","0.38333333","16","7","false","Gnas","12.625","16","0","0","0.79918589","false","0","Gnas","8240","0.25637755"
"34254","6","3.65174129","0.0","0.27384196","1.0","7","8","false","Ramp2","12.57142857","7","0","0","0.75893261","false","0","Ramp2","0","0.33082707"
"34256","6","4.17910448","0.01470149","0.23928571","0.66666667","4","8","false","Add1","5.5","4","0","0","0.7109905","false","0","Add1","3270","0.39285714"
"34258","6","4.17910448","0.01470149","0.23928571","0.66666667","4","8","false","Add2","5.5","4","0","0","0.7109905","false","0","Add2","3270","0.39285714"
"34260","6","5.15422886","0.00995025","0.19401544","0.5","4","9","false","Dmtn","3.0","4","0","0","0.62234283","false","0","Dmtn","2186","0.6875"
"34262","6","5.15920398","0.0","0.19382835","1.0","3","9","false","Add3","4.0","3","0","0","0.62189055","false","0","Add3","0","0.8"
"39908","6","4.55721393","0.0","0.21943231","0.0","1","8","false","Pigh","7.0","1","0","0","0.67661692","false","0","Pigh","0","0.0"
"39400","6","4.77114428","0.0","0.20959333","0.0","1","9","false","Hcfc1r1","7.0","1","0","0","0.6571687","false","0","Hcfc1r1","0","0.0"
"34284","6","3.04477612","0.10411991","0.32843137","0.35833333","16","6","false","Gna12","13.75","16","0","0","0.81411126","false","0","Gna12","21754","0.19278169"
