"SUID","__glayCluster","name","selected","shared name"
"4571","6","Mkl2","false","Mkl2"
"3303","1","Sowahd","false","Sowahd"
"3304","1","Klhl4","false","Klhl4"
"4572","5","Col1a1","false","Col1a1"
"3903","1","Krt15","false","Krt15"
"4573","6","Acta1","false","Acta1"
"3305","4","Qrich2","false","Qrich2"
"3904","8","Mllt3","false","Mllt3"
"4574","2","Mlycd","false","Mlycd"
"3905","4","Tal1","false","Tal1"
"4575","12","Aldh3b2","false","Aldh3b2"
"4576","4","Pnpla3","false","Pnpla3"
"3906","5","Lyve1","false","Lyve1"
"4577","4","Lpcat1","false","Lpcat1"
"4578","4","Fads1","false","Fads1"
"4579","4","Jcad","false","Jcad"
"3907","3","Lmbrd1","false","Lmbrd1"
"4580","4","Acsf2","false","Acsf2"
"4581","4","Alas1","false","Alas1"
"3910","1","Rasd2","false","Rasd2"
"4582","10","Mdh1","false","Mdh1"
"3306","12","Klf11","false","Klf11"
"4583","4","Ftl1","false","Ftl1"
"3911","5","Cd248","false","Cd248"
"4584","4","Hamp","false","Hamp"
"4585","4","Iba57","false","Iba57"
"4586","4","Heph","false","Heph"
"4587","4","Slc40a1","false","Slc40a1"
"4588","1","Epas1","false","Epas1"
"3912","24","Grtp1","false","Grtp1"
"4589","4","Slc11a2","false","Slc11a2"
"3913","24","Ccnjl","false","Ccnjl"
"4590","1","Tfrc","false","Tfrc"
"3547","6","Pik3r6","false","Pik3r6"
"4591","5","App","false","App"
"3108","1","Taf9b","false","Taf9b"
"4592","4","Aco1","false","Aco1"
"3307","7","Synpo","false","Synpo"
"4593","21","Sgms2","false","Sgms2"
"3109","5","Sync","false","Sync"
"4594","6","Sphk2","false","Sphk2"
"4595","21","Sgms1","false","Sgms1"
"4596","21","Smpd1","false","Smpd1"
"3914","5","Irs2","false","Irs2"
"3308","2","Kif5c","false","Kif5c"
"4597","21","Sgpp2","false","Sgpp2"
"3548","8","Hs6st1","false","Hs6st1"
"3309","2","Psrc1","false","Psrc1"
"4598","21","Tmem8","false","Tmem8"
"3549","8","Extl1","false","Extl1"
"4599","21","Cers4","false","Cers4"
"4600","21","Acer2","false","Acer2"
"3550","1","Txndc15","false","Txndc15"
"3310","2","Tubb2a","false","Tubb2a"
"4601","10","Cmbl","false","Cmbl"
"3551","7","Evc2","false","Evc2"
"3915","5","Map3k5","false","Map3k5"
"4602","10","Hibadh","false","Hibadh"
"3552","13","Svep1","false","Svep1"
"3916","5","Ncoa3","false","Ncoa3"
"3917","5","Zeb2","false","Zeb2"
"4603","10","Etfdh","false","Etfdh"
"3311","2","Kif16b","false","Kif16b"
"4604","10","Echdc2","false","Echdc2"
"3312","1","Kiaa1468","false","Kiaa1468"
"3313","1","Kiaa0513","false","Kiaa0513"
"4605","4","Acsl3","false","Acsl3"
"3918","1","Sfrp1","false","Sfrp1"
"4606","10","Mccc2","false","Mccc2"
"3919","5","Cdc25b","false","Cdc25b"
"4607","1","Ubc","false","Ubc"
"3920","5","Jag1","false","Jag1"
"4608","4","Sptan1","false","Sptan1"
"4609","10","Ech1","false","Ech1"
"3921","5","Cdk2","false","Cdk2"
"4610","10","Zswim7","false","Zswim7"
"4611","5","Qsox1","false","Qsox1"
"4612","5","Nfkb1","false","Nfkb1"
"3922","5","Rb1","false","Rb1"
"3553","5","Gfi1b","false","Gfi1b"
"3923","1","Lgr5","false","Lgr5"
"4613","10","Acss1","false","Acss1"
"4614","10","Crat","false","Crat"
"4615","10","Acadl","false","Acadl"
"4616","10","Eci1","false","Eci1"
"4617","1","Ube2d1","false","Ube2d1"
"3924","6","Fam43a","false","Fam43a"
"4618","5","Timp2","false","Timp2"
"3925","1","Ccdc92","false","Ccdc92"
"4619","10","Acaa1a","false","Acaa1a"
"3554","7","Rbpms","false","Rbpms"
"3316","1","Kcnk15","false","Kcnk15"
"4620","7","Ighg2c","false","Ighg2c"
"3926","6","Obsl1","false","Obsl1"
"3555","7","Mbnl1","false","Mbnl1"
"3317","6","Kcnj13","false","Kcnj13"
"4621","7","Shb","false","Shb"
"3556","7","Ovol2","false","Ovol2"
"3927","12","Kidins220","false","Kidins220"
"4622","5","Vegfa","false","Vegfa"
"3318","7","Ppl","false","Ppl"
"3928","12","Ccdc8","false","Ccdc8"
"3557","3","St14","false","St14"
"4623","7","Nhsl1","false","Nhsl1"
"3319","7","Ppfibp2","false","Ppfibp2"
"4624","7","Wasf1","false","Wasf1"
"3558","3","Erg","false","Erg"
"3929","5","Col15a1","false","Col15a1"
"4625","7","Abi2","false","Abi2"
"3930","2","Ccdc68","false","Ccdc68"
"4626","4","Osbpl2","false","Osbpl2"
"3931","2","Kif2a","false","Kif2a"
"4627","4","Mettl26","false","Mettl26"
"3320","2","Kif21b","false","Kif21b"
"3321","2","Kank1","false","Kank1"
"3932","2","Parp4","false","Parp4"
"4628","4","Mgll","false","Mgll"
"3933","2","Ccdc120","false","Ccdc120"
"3562","7","Magi3","false","Magi3"
"4629","4","Abhd3","false","Abhd3"
"3934","8","Galnt16","false","Galnt16"
"4630","4","Lyplal1","false","Lyplal1"
"4631","4","Abhd17a","false","Abhd17a"
"3935","8","Ccdc102a","false","Ccdc102a"
"3563","11","Eps8l2","false","Eps8l2"
"4632","5","Spp1","false","Spp1"
"4633","6","Spns2","false","Spns2"
"3564","1","Spg20","false","Spg20"
"3936","1","Cbx6","false","Cbx6"
"4634","5","Notch1","false","Notch1"
"3937","1","Pcgf5","false","Pcgf5"
"4635","5","Cd34","false","Cd34"
"3938","1","Cbx7","false","Cbx7"
"4636","5","Cdh1","false","Cdh1"
"3939","1","Cbx4","false","Cbx4"
"4637","5","Abcg2","false","Abcg2"
"4638","4","Scarb1","false","Scarb1"
"4639","1","Ldlr","false","Ldlr"
"3942","6","Tgfb1i1","false","Tgfb1i1"
"3322","6","Nfatc4","false","Nfatc4"
"4640","1","Mylip","false","Mylip"
"3110","22","Snn","false","Snn"
"3943","7","Cblc","false","Cblc"
"4641","4","Srebf2","false","Srebf2"
"4642","5","Pparg","false","Pparg"
"4643","1","Abcg1","false","Abcg1"
"3565","4","Zfpm1","false","Zfpm1"
"4644","10","Pex3","false","Pex3"
"4645","10","Abcd3","false","Abcd3"
"3566","7","Syt13","false","Syt13"
"3944","5","Prkcdbp","false","Prkcdbp"
"3945","13","Sdpr","false","Sdpr"
"4646","10","Pex13","false","Pex13"
"3567","4","Klf1","false","Klf1"
"4647","10","Hsd17b4","false","Hsd17b4"
"3323","3","Mfng","false","Mfng"
"4648","10","Pex5l","false","Pex5l"
"4649","10","Pxmp4","false","Pxmp4"
"4650","10","Abcd1","false","Abcd1"
"3324","12","Pax8","false","Pax8"
"4651","14","Abcg4","false","Abcg4"
"3946","1","Nf1","false","Nf1"
"3325","12","Jade1","false","Jade1"
"4652","14","St5","false","St5"
"3947","5","Foxo3","false","Foxo3"
"4653","14","Abcc5","false","Abcc5"
"4654","14","Prl2c3","false","Prl2c3"
"3568","1","Hif3a","false","Hif3a"
"3948","13","Gpr153","false","Gpr153"
"4655","5","Itpkb","false","Itpkb"
"3949","5","Nid2","false","Nid2"
"3950","13","Caskin1","false","Caskin1"
"4656","3","Cldn5","false","Cldn5"
"4657","5","Nfe2l2","false","Nfe2l2"
"3951","8","Car4","false","Car4"
"3326","2","Mlst8","false","Mlst8"
"4658","5","Egfr","false","Egfr"
"3569","5","Ets1","false","Ets1"
"3952","12","Capn2","false","Capn2"
"4659","5","Abcb1b","false","Abcb1b"
"4660","5","Cav1","false","Cav1"
"3953","2","Tuba1a","false","Tuba1a"
"4661","5","Abcb1a","false","Abcb1a"
"3954","2","Camsap3","false","Camsap3"
"3570","6","Gm21685","false","Gm21685"
"4662","4","Steap3","false","Steap3"
"3571","6","Entpd4","false","Entpd4"
"3955","2","Plekhh2","false","Plekhh2"
"4663","4","Slc25a37","false","Slc25a37"
"3956","2","Prkag2","false","Prkag2"
"4664","4","Mfsd7c","false","Mfsd7c"
"3327","5","Serpinb9d","false","Serpinb9d"
"4665","4","Slc25a38","false","Slc25a38"
"3572","4","Gdpd1","false","Gdpd1"
"3957","2","Cdc25c","false","Cdc25c"
