"SUID","EdgeBetweenness","interaction","name","regulatoryGene","selected","shared interaction","shared name","weight"
"24179","22.94753249","interacts with","Suv39h2 (interacts with) Sf1","ENSMUSG00000026646","false","interacts with","Suv39h2 (interacts with) Sf1","0.0277463171212832"
"24181","63.60232151","interacts with","Smad2 (interacts with) Gabpa","ENSMUSG00000024563","false","interacts with","Smad2 (interacts with) Gabpa","0.0277430966443807"
"20085","78.3376767","interacts with","Hmgb3 (interacts with) Nelfe","ENSMUSG00000015217","false","interacts with","Hmgb3 (interacts with) Nelfe","0.0668041998695347"
"24182","29.61654892","interacts with","Ecd (interacts with) Srsf1","ENSMUSG00000021810","false","interacts with","Ecd (interacts with) Srsf1","0.0277419284930239"
"24183","21.35434451","interacts with","Ubtf (interacts with) Rps6ka1","ENSMUSG00000020923","false","interacts with","Ubtf (interacts with) Rps6ka1","0.0277414431851853"
"24184","33.42195892","interacts with","Npm1 (interacts with) Caprin1","ENSMUSG00000057113","false","interacts with","Npm1 (interacts with) Caprin1","0.0277401252719455"
"24187","16.79112615","interacts with","Hat1 (interacts with) Arhgef12","ENSMUSG00000027018","false","interacts with","Hat1 (interacts with) Arhgef12","0.0277338435820482"
"24191","47.27909806","interacts with","Ddx1 (interacts with) Far1","ENSMUSG00000037149","false","interacts with","Ddx1 (interacts with) Far1","0.0277288760531427"
"24193","50.75256403","interacts with","Taf7 (interacts with) Ruvbl2","ENSMUSG00000051316","false","interacts with","Taf7 (interacts with) Ruvbl2","0.0277257337539897"
"24194","27.89907958","interacts with","Ice1 (interacts with) Ckap5","ENSMUSG00000034525","false","interacts with","Ice1 (interacts with) Ckap5","0.0277215696528598"
"24195","19.5051295","interacts with","Ttf2 (interacts with) Ccdc43","ENSMUSG00000033222","false","interacts with","Ttf2 (interacts with) Ccdc43","0.0277116888494904"
